Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
66,3.0,0.0,150.0,6.0,16.0,1798.0,0.0,563.8712136409215,563.8712136409215,0.0,255.0716905593872,,,,,,,,,,,,,,,,190.44512272704554,184.26720111895935,561.3854771544436,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,166.0,7.0,16.0,1814.0,0.0,497.65191789877565,497.65191789877565,0.0,256.768431186676,,,,,,,,,,,,,,,,152.28274775318948,162.52957309614405,495.71110503976433,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,200.0,8.0,34.0,1848.0,0.0,1409.2273608134897,1409.2273608134897,0.0,259.68105936050415,,,,,,,,,,,,,,,,614.6939157693159,442.67997188544643,1389.7174851624948,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,267.0,9.0,67.0,1915.0,0.0,2001.3991117543173,2001.3991117543173,0.0,264.92161798477173,,,,,,,,,,,,,,,,599.6332405423511,658.6797662934453,1963.1868715094897,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,338.0,10.0,71.0,1986.0,0.0,2324.978820021205,2324.978820021205,0.0,270.5506694316864,,,,,,,,,,,,,,,,1123.7207358101334,631.9291405568879,2247.4420898685544,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,371.0,11.0,33.0,2019.0,0.0,1464.1672508980564,1464.1672508980564,0.0,273.38627767562866,,,,,,,,,,,,,,,,572.8627021705483,467.52742761410195,1446.7094912176458,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,425.0,12.0,54.0,2073.0,0.0,2417.2442389872244,2417.2442389872244,0.0,277.6659982204437,,,,,,,,,,,,,,,,1051.9776722168365,746.4112623344212,2362.800244932447,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,448.0,13.0,23.0,2096.0,0.0,645.2403589822383,645.2403589822383,0.0,279.8186676502228,,,,,,,,,,,,,,,,192.92913504585377,203.2157266317092,641.4444333094932,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,474.0,14.0,26.0,2122.0,0.0,1172.9994890308237,1172.9994890308237,0.0,282.2347264289856,,,,,,,,,,,,,,,,483.23705361545615,378.04912435977457,1161.5969225593817,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,491.0,15.0,17.0,2139.0,0.0,450.89250417533964,450.89250417533964,0.0,284.0830502510071,,,,,,,,,,,,,,,,123.59909155499815,142.6795761422289,449.24056017908373,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
